"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GNB3",183.02405361488,-2.5967009181857,0.372488251009429,-4.28658062062012,1.81444371534972e-05,0.00526271152165752
"PCAT7",109.564432549735,-3.07329733974813,0.485537533487859,-4.2701072455812,1.9537899597075e-05,0.00560320617208698
"DACH2",14.5018509154783,-3.32651536939423,0.545913370618911,-4.26169332829607,2.02883731863301e-05,0.00575378263564323
"CYP26A1",68.7334123174159,-3.58566573390941,0.608938427486091,-4.24618584933773,2.17440291453742e-05,0.00599445080219322
"ENOX1",438.767319735706,2.23923330080929,0.291915200604121,4.24518249904318,2.18415579299471e-05,0.00599445080219322
"DKK2",144.923137186338,-2.90559659509947,0.448764950260163,-4.24631334063575,2.17316663172585e-05,0.00599445080219322
"AC093775.1",12.7275430782415,3.39112096503807,0.565973201852052,4.22479537408049,2.39157985353763e-05,0.00649390257252068
"AL163195.2",9.74647584416874,4.68721617944759,0.874984884459361,4.21403414497368,2.50849337293875e-05,0.00673966156325145
"ASCL3",18.6953195938686,-3.62160520845118,0.623808648569275,-4.20257913137934,2.63890953597356e-05,0.00701620072876971
"SLC5A4",85.158421205071,-3.32578842159023,0.555441525680086,-4.18727861360838,2.82319178597437e-05,0.00722257077608243
"IL13RA2",386.430932390463,2.63981098351201,0.391626257805194,4.18718344551783,2.82437539905658e-05,0.00722257077608243
"POU2F3",339.675372136197,-2.97930576098094,0.472647628757006,-4.1876984894354,2.81797538451869e-05,0.00722257077608243
"TMEM163",1560.25557810596,2.48657023078706,0.355065067504478,4.1867543919068,2.82971743303653e-05,0.00722257077608243
"ICAM5",271.065079003843,-2.92291001604755,0.459735995803152,-4.18263967494705,2.88143881010171e-05,0.00728176675138969
"GABRE",680.075915699001,2.57258078006511,0.376708041414595,4.1745346718903,2.98595743831307e-05,0.00747191937799048
"PLA2G3",15.8288328638132,-4.04757164577656,0.731066039950766,-4.16866805354794,3.06384817596839e-05,0.0075193904657132
"CA3-AS1",79.7467190485066,2.22420061739491,0.293584339830752,4.16984304442343,3.04809488143069e-05,0.0075193904657132
"OR10AC1",249.540386305142,3.06161724224319,0.495914239689158,4.15720517228024,3.22164637464753e-05,0.00783136210157177
"CYP24A1",74.7680784092127,-3.08475847928233,0.502197402275433,-4.15127292542014,3.30631202308733e-05,0.00796134981861142
"LINC02575",62.986881777058,-3.17127871208316,0.524048153552038,-4.14328091295823,3.42372141503671e-05,0.00816701545770066
"LINC01341",809.371920794841,2.44518288394924,0.349043083552494,4.14041404069791,3.46679504666626e-05,0.00819319229362127
"AC131254.1",5.95404437441635,3.42797160597624,0.587016442778275,4.13612197042548,3.53224492570915e-05,0.00827128619117434
"HOXC13",19.7654853506362,-3.64233703999882,0.64041092098131,-4.12600246721266,3.69123308124303e-05,0.00853569929992286
"ITLN1",24.2063811140306,3.24521403314567,0.544332778094805,4.1247084935874,3.71204600490298e-05,0.00853569929992286
"LHFPL4",47.5116103864596,3.80139093537553,0.680861783788122,4.11447815412606,3.88056305687474e-05,0.0087652647312983
"CDC20P1",232.544940902631,2.25007852409187,0.303798108305269,4.11483314055311,3.87459594567603e-05,0.0087652647312983
"AC004156.1",33.070573327924,1.99056214043675,0.241628327684341,4.09952818831243,4.13993247285748e-05,0.00926909091554512
"ADAMTS18",538.051831637142,2.40749703631673,0.343877187424334,4.09302241552861,4.25786541413879e-05,0.00936877214055849
"VEGFD",87.1601861730346,2.64314375590743,0.401341593303166,4.09412775382646,4.23760623731135e-05,0.00936877214055849
"TF",226.352371390296,2.39087695603198,0.340878017537436,4.08027764911308,4.498193937928e-05,0.00981298308304908
"AL008718.2",10.7958713028967,2.24647157350457,0.305986143210632,4.07362098304737,4.62877887314585e-05,0.0100122840642521
"ZIC2",10.260154616923,-4.09363109417076,0.760776565690205,-4.06641218156359,4.77424642237416e-05,0.0102401567802251
"AP002755.1",7.38725858986335,2.92460878231751,0.473714301973308,4.06280488957234,4.84865554898904e-05,0.0103130903526997
"EPHA5",110.684693960742,3.52496580966538,0.622013799177438,4.05934050499271,4.92115080604435e-05,0.0103807812540063
"TRIM43B",10.277218173539,-3.52898608249688,0.623370509913294,-4.05695496061988,4.9716664776222e-05,0.0104013782930188
"MGAT3",1105.65262664421,-2.37468566389798,0.33944370376282,-4.04981930334615,5.12571961536376e-05,0.0106364932896378
"LINC01823",25.8025804567888,2.60954143526645,0.398940968352456,4.03453533968578,5.47104558482349e-05,0.0112615296376641
"DLX6",65.3210779241043,-3.34769712849099,0.584377030239424,-4.01743567424119,5.88348884293883e-05,0.0120136135381737
"CSNK1A1P1",19.7987783338275,2.70670779825087,0.428001682934258,3.98761936296644,6.67396282296515e-05,0.0135195418328066
"CHGA",77.3074650574125,-3.34753121475842,0.589377129744917,-3.98307144319365,6.803029336898e-05,0.013672481952361
"SULT2B1",21.0685280209006,2.50459934970803,0.379966607027744,3.9598199470149,7.50062933903763e-05,0.0149567236913747
"SMPX",9.12744777558819,2.87980543009496,0.475486026940576,3.9534398985186,7.70356205857978e-05,0.0150213030375105
"PAPPA2",127.45738507127,-3.34562109222661,0.593339417301632,-3.95325343947979,7.70957020025807e-05,0.0150213030375105
"TRPC5OS",6.46756842751801,2.62310611158314,0.41048791026195,3.95408992812327,7.68265120145886e-05,0.0150213030375105
"PCSK1",79.8236785002421,2.66213235897888,0.422173379340072,3.93708471523495,8.24774962169131e-05,0.0159481485866704
"SYNDIG1L",29.07164309603,2.38194995616754,0.352063141332279,3.92529007989293,8.66252848197316e-05,0.0165779728482923
"AL162713.2",5.39618967716557,2.38941251145023,0.354066430067741,3.92415771013481,8.70337079482516e-05,0.0165779728482923
"CAMK2B",2059.07916738072,2.68267331111131,0.429763013121411,3.91535162342121,9.02725477175027e-05,0.0168183686711061
"TRIM7",374.825042391038,2.13523580152117,0.289936566515267,3.9154626653875,9.02310073533388e-05,0.0168183686711061
"MARCHF11",17.8626026911658,-4.03223031321493,0.773865740392056,-3.9182898982952,8.91794131921948e-05,0.0168183686711061
"AC009236.2",12.2356029714133,2.88516467106968,0.482305176514549,3.9086552723591,9.2811287789459e-05,0.0171660529676678
"SOX21",6.14772427470376,-4.3389260918219,0.857418410421626,-3.89416188320474,9.85388303703422e-05,0.0179650364740901
"SOX14",26.2290124914047,-5.05529582007551,1.04129174154046,-3.89448572220137,9.84072876699965e-05,0.0179650364740901
"AP002800.1",34.149333634522,2.48652585366409,0.382091737305839,3.89049463394762,0.000100040089354945,0.0181093846857844
"NPY2R",11.2556553925394,-4.12042729162831,0.804168781433882,-3.88031388891322,0.000104321745393644,0.0187514664044182
"FRRS1",443.419629533225,-2.16355562519244,0.300463897835644,-3.8725305554976,0.00010771116742745,0.0192253135483793
"FAM166A",17.1064830760556,2.12201256850353,0.290079001783674,3.86795514878485,0.000109751844897628,0.0193821133690441
"AL139393.1",8.36528545917084,2.71589706157254,0.443709411873159,3.86716399440058,0.00011010838577462,0.0193821133690441
"PRTG",70.9846856417525,-2.78225749309221,0.461220304115149,-3.86422166845293,0.000111443983371505,0.0194828509011937
"FAM71F1",5.3926971674164,2.67724360100829,0.434248621613439,3.8624039721221,0.000112276703908208,0.0194949019765517
"ALOXE3P1",4.41215628356065,-4.47778012514663,0.900887275331513,-3.86039432499128,0.000113204191117393,0.019523133608651
"OXGR1",129.927453702092,-2.71145727475783,0.444216587130289,-3.85275409415512,0.00011679667254222,0.020007505167568
"AL121612.2",21.0284688013162,-3.41355493779856,0.627933464437007,-3.8436475749266,0.000121219049672727,0.0206266334923112
"GLRA4",67.0407626375736,3.11540887711988,0.55179230313974,3.83370493767861,0.00012622754283334,0.0213366344587958
"TRPM5",162.429594234987,-2.54517149562949,0.404389943631484,-3.82099386981193,0.000132914956339341,0.0223192193789825
"MMP13",80.4946081019787,-3.51122295544657,0.659964530784718,-3.80508775594448,0.000141753923956415,0.0232010668979067
"TAS1R3",319.890902113663,-2.40491838590944,0.369185550796153,-3.80545333607916,0.000141544699518977,0.0232010668979067
"LRRN3",641.07423934181,2.37883646093483,0.362374606379974,3.80500299043864,0.00014180247751424,0.0232010668979067
"LINC00681",17.5936389576704,3.87605938946496,0.755286977775654,3.80790278939411,0.000140150342730834,0.0232010668979067
"CTCFL",5.21269744383197,-3.11200609518656,0.555697315748711,-3.80064116800884,0.000144322169517153,0.0234629239156422
"AC027288.3",33.7926759169481,2.74435820345607,0.460870329395587,3.78492190144618,0.000153756856238524,0.024682327035422
"AC011370.1",31.7323921830726,-3.03903879543976,0.538525360209777,-3.78633755454984,0.000152883961406099,0.024682327035422
"SOST",12.7318161462121,-4.0456344218279,0.810965899064984,-3.75556410613493,0.000172951482905292,0.0274187183209606
"LINC01322",31.8667023619521,-3.17141963257337,0.57816935403334,-3.75568095649731,0.000172870801526935,0.0274187183209606
"AC062015.1",69.6017372696443,2.74145859524527,0.466522487469751,3.73285027414287,0.000189325145516627,0.0298292284825086
"POU3F1",164.017810818287,2.28152129641088,0.343527671371533,3.7304747279729,0.000191119314283151,0.0298762563155784
"SPATA31C1",9.16167898145449,-3.39089549058584,0.641100283246904,-3.7293627113639,0.00019196466211232,0.0298762563155784
"PROX1-AS1",4.24132267382218,-4.06441660858613,0.822138064951021,-3.72737468221799,0.000193484712144519,0.0299303260168286
"MUC4",431.312142975336,-2.65007990843153,0.443659590372222,-3.71924769404206,0.000199817031779584,0.0306490010014579
"PKD1L2",24.2198801761004,2.24587532257065,0.335061775752493,3.71834513134965,0.000200532172357133,0.0306490010014579
"MEGF11",688.837411567402,2.70516146230773,0.462877863541341,3.68382590012417,0.000229759199006725,0.0346852866505735
"HOXC6",107.237149636225,-2.88598459244405,0.512157085439497,-3.68243385879477,0.000231017815804635,0.0346852866505735
"AC091979.1",5.03701312653366,2.59321000079744,0.432398962168564,3.684583313538,0.000229077088512264,0.0346852866505735
"SLITRK6",218.985568913271,3.03689593695657,0.553550203078766,3.67969504053588,0.00023351303515812,0.0348548930372856
"FYB2",195.882888640822,2.69846217350655,0.46250207944539,3.6723341342449,0.000240345145554559,0.0356661017158986
"PHF24",153.212172568283,2.4344381188699,0.391113440148463,3.66757562288168,0.000244861143382243,0.0360212044964504
"HTR3E",5.94203540247038,-3.56857847651046,0.701046308733478,-3.66392126242117,0.000248383168444416,0.0360212044964504
"TRPM2-AS",111.634086983228,-2.43201645782057,0.390813847345593,-3.66419068194953,0.00024812189157956,0.0360212044964504
"AL137001.2",564.274902455269,-4.18368318588673,0.868906555734596,-3.66401100886523,0.000248296105756051,0.0360212044964504
"NPC1L1",6.41576949170526,2.11712228269804,0.305434213110781,3.65748902626327,0.000254698160351687,0.0367283381063077
"EGFL6",625.383536016667,-2.59065456781439,0.435151394335902,-3.65540496599337,0.000256776318281999,0.0368199929653356
"LRTM2",970.657307910967,3.48730316293939,0.681204801070739,3.6513294666006,0.000260886304817111,0.0372003466153739
"FAM3D-AS1",15.4205412750464,2.19203680727997,0.326599212714199,3.6498459300424,0.000262397647710279,0.0372079864453176
"CLDN19",132.201901963708,2.6927182092329,0.464225747242449,3.6463255631292,0.000266016911730354,0.0375127936740639
"MYEOV",52.8309329952815,-2.44212917725829,0.396211269658499,-3.63979848049573,0.000272851493936778,0.0382651732485842
"ALDH4A1",6362.47092647909,2.03448254193767,0.284681834694802,3.63381999082134,0.000279255728355523,0.0389493071614556
"PCSK2",407.415731799796,-3.39902243791665,0.660827883296293,-3.63032871123722,0.000283060501558992,0.0392654143575636
"PHEX-AS1",16.8512415584809,3.19403015878915,0.605832185365903,3.62151468968924,0.000292883171449959,0.0404083787464257
"CALML5",516.753509987256,-3.3750893220311,0.656232111653931,-3.61928238477244,0.000295421125597284,0.0405368549523107
"CD24",836.575602189717,-2.58867678318819,0.439114418735807,-3.61791076631445,0.000296990748945388,0.0405368549523107
"MTUS2",68.4695247254484,2.39027619568266,0.385180229008273,3.60941733500241,0.000306885548420563,0.0412260354625603
"TGM2",8203.10023511937,-2.43717957874065,0.39805949288088,-3.61046427592854,0.000305649399701565,0.0412260354625603
"LINC02139",13.6974382079794,2.27305085751047,0.352606458572334,3.61040141653934,0.000305723487553273,0.0412260354625603
"B3GNT3",64.6305714671686,-2.7788525911124,0.493448131444112,-3.60494341301174,0.000312220950485569,0.0415857598422542
"AC079804.3",38.305933894587,2.95130819318985,0.541361772868413,3.60444399842054,0.000312821888799279,0.0415857598422542
"ITGB6",28.9924132990567,-2.96856516722544,0.547851193518245,-3.59324793030661,0.00032658157279219,0.0428682800386739
"HCAR2",516.103361434567,-2.39520498669299,0.388086977958015,-3.59508323117176,0.000324287884991952,0.0428682800386739
"FAM95C",107.602279225054,2.01065721930033,0.281427822850683,3.59117733656546,0.000329187544569036,0.0428682800386739
"NPBWR1",5.37941659459241,2.66502314284789,0.463619953169522,3.59135350293924,0.000328965073039063,0.0428682800386739
"SEC14L6",39.4303312314998,2.64626013829983,0.459517312014455,3.58258567252423,0.000340209986754537,0.0440787802128061
"AC026469.1",17.8570287612361,2.57185465056412,0.439823633183042,3.57382944428991,0.000351798127365141,0.045349976782161
"DNAH9",49.0429860700371,2.23375089892753,0.345449802278783,3.57143321776133,0.000355033081167582,0.0455370068528712
"AC011995.2",53.2499729408755,2.41501684369333,0.396393393828989,3.56972862242955,0.000357351230198639,0.0456051639979503
"AC104794.4",25.9202462652198,-3.67506045892433,0.750883624168351,-3.56255000485211,0.000367269922716042,0.0466377985442998
"PCP4L1",510.415935888463,2.69048531275968,0.475334504734453,3.55641194973648,0.000375954404826864,0.0475042585584202
"AL365256.1",6.51873269392772,-2.9502542305906,0.549617974794409,-3.54838145772092,0.000387606427395767,0.0487353027233968
"NEFM",1612.03831254142,3.14198583927931,0.604138588278535,3.54552064847041,0.000391838287039421,0.0490258845019323
"UGT8",44.2551837169135,-2.69829028764476,0.479845430677407,-3.53924447138583,0.000401274048019064,0.0499615551299443
"HTR3C",3.90617778204734,-4.40539306750205,0.96972387758058,-3.51171415516586,0.000445226588417223,0.055164871081365
"NNAT",369.380809057941,-2.33846915218041,0.382612781053002,-3.49823429446544,0.000468349500157319,0.057749529671572
"EDIL3",769.783930460255,-2.61208562294737,0.461186202310205,-3.49552006298541,0.000473138881371606,0.0580596000390811
"DEFB1",114.731618487213,-2.68823905366089,0.483344637094334,-3.49282669982618,0.000477936569502719,0.058367717703289
"PDE1A",920.216795500032,2.43843304760776,0.412073812648349,3.49071696248574,0.000481726297311231,0.0585503905360564
"ANKRD18CP",18.4196330443403,2.14905368963838,0.329321182101379,3.48915815953997,0.000484544364208803,0.0586137931377512
"H3Y1",38.0985838532782,-2.85422048898231,0.531865656987126,-3.48625722421328,0.00048982976567832,0.0589736553734597
"SLC9A2",100.474001180047,-2.20482390853907,0.346137563221994,-3.4807661362265,0.000499981834548163,0.0599133161737433
"KLHDC8A",84.2972694887378,2.24687452409864,0.358371332218003,3.47928087992303,0.000502761332980734,0.0599648610420573
"AL589645.1",5.95483014025885,2.65053861964127,0.474906331676575,3.47550350363686,0.000509895332058412,0.0605328765370182
"LY6G6C",34.0485888804467,-2.56118799177758,0.450060025872224,-3.46884393643264,0.00052270299531521,0.0617660706130807
"LINC02341",26.6310009885749,-2.32783833415394,0.383867905626861,-3.45910224504328,0.000541979122332299,0.0637487332645603
"CRYM",47.5672551396918,-2.51000000321204,0.436841988730764,-3.45662743547002,0.000546980510706293,0.0637494545902623
"AC025284.1",54.3112860711359,2.30085722258378,0.376337109588619,3.45662755396557,0.000546980270210505,0.0637494545902623
"KLK6",23.7539847232727,-3.0377204433592,0.590025112195526,-3.45361646689358,0.000553123405049564,0.0641723717749321
"GABRA5",882.341648229428,2.81603714453569,0.526026654285165,3.45236715619204,0.000555691027545429,0.0641785420229391
"PLEKHS1",37.6067425960624,-2.6843431347341,0.488212237767162,-3.4500223559275,0.000560540131939842,0.0644469654397862
"FAM83E",80.6078245674257,-2.67949546551102,0.48750144835742,-3.44510866823039,0.000570829854792345,0.0653357005099543
"PPARGC1A",852.219802206095,2.07994028980088,0.313968111112573,3.43964960636933,0.000582467758021914,0.0663701207846042
"RBFOX3",72.0000434225803,2.34977341234402,0.393096727424964,3.43369282462843,0.000595418534508615,0.0675442785546573
"LIPJ",19.8085954272237,1.82026816165998,0.23959990215699,3.42349122130495,0.000618222485973911,0.0698208439468943
"GBP6",156.126185773078,2.75484882207819,0.514327648192582,3.4119278406381,0.000645051863881988,0.0725299725714707
"LINC01132",310.749890972284,1.78154614845668,0.229429932204208,3.40646985747724,0.000658088167511185,0.07367123854191
"SLCO1B1",6.16900270149435,-3.73211228914838,0.802622481901997,-3.40398176073266,0.000664111877293814,0.0740209238255341
"DUX4L26",10.2265025194407,-2.58829229162197,0.467717706340434,-3.39583528716339,0.000684195190511248,0.0759278175765613
"ZIC5",6.23818544376358,-4.73157430954247,1.10452833766287,-3.37843238810723,0.00072900356557408,0.080550160206549
"TRIM51GP",4.45354969063357,-3.99047672104833,0.886005587344875,-3.37523460772973,0.000737527883911557,0.0811407832282698
"LINC01305",5.25358115349052,-3.07131973935017,0.614541864870917,-3.37051038790538,0.000750290771635766,0.082190650880821
"PITX1",50.6886658878109,-2.92647365876783,0.572154848119041,-3.36704943618167,0.000759770670607987,0.0828734469940097
