"","name","MEblack","MEpink","MEturquoise","MEblue","MEyellow","MEgreen","MEred","MEgrey"
"1","TCGA-XM-A8RB",-0.0020738577978305,-0.0939945951183631,-0.110158575652947,0.103091836188383,0.013360256210477,-0.0484210443407207,-0.00507082609311027,-0.102157390963974
"2","TCGA-X7-A8M0",0.0459885238422848,0.0328967118788021,0.0476977100544674,-0.0845065412355298,-0.0350504206782951,0.132368986015659,0.0420139785062387,-0.0976755884575113
"3","TCGA-ZB-A96M",0.113501762512465,0.234807120596471,0.124864939455579,-0.0142794660373546,-0.0614900282386466,0.0706903437770637,-0.00844004044283297,-0.0880038879140803
"4","TCGA-4V-A9QT",-0.029808143862043,-0.134070346455291,-0.108024044210905,0.133467991483964,-0.0516828096215987,-0.102166203263957,-0.0772796398294246,-0.0925854010328433
"5","TCGA-XU-AAY1",-0.111188566310248,0.0590266591165246,0.0447648549253196,0.0866243595199992,-0.107771644588096,-0.094013065118517,-0.0675941486483991,-0.0951422422307492
"6","TCGA-X7-A8DB",-0.0642257432167419,-0.140108236421985,-0.135288816518587,0.124924577627259,0.0190021559465577,-0.0195279644879779,-0.0438671274488597,-0.106914338144825
"7","TCGA-XM-AAZ3",0.0910094602574667,-0.0703152310645168,0.123121820202165,-0.155051162357963,-0.0233775415348516,-0.0860803896974421,-0.0663445597657588,0.096410893441835
"8","TCGA-XU-AAXX",0.00325259718698503,-0.124908699039485,-0.106592147228026,0.0738110345966721,0.145358364584553,-0.0633459749376594,-0.0424486092085153,-0.09118696696428
"9","TCGA-XU-A936",0.0258007983744272,0.0153184451006177,-0.0698887447053581,-0.09498752499929,-0.0200560515044901,0.28870138044886,0.253597910595137,-0.085902783638207
"10","TCGA-XU-A930",0.0314338704494718,-0.0364386524184988,-0.0978533255952315,-0.032713218389031,0.162019265718574,0.125721097278659,0.00448519376753559,0.0748236323223366
"11","TCGA-4X-A9FB",-0.000242240279112496,-0.06273801346375,-0.0870875897869968,0.0759001523093273,0.0915091388883312,0.107602135926581,0.0434756693471402,0.0919424641277958
"12","TCGA-XU-AAXW",0.0356245020716057,0.0150370729950872,-0.0713806573987369,0.0562131171798907,0.0961119203709127,0.108876819688442,0.0447445996383932,-0.0895775397985141
"13","TCGA-3S-AAYX",-0.000147857330270079,-0.115113984246817,-0.113620045715968,0.121748931548302,-0.0294814564652638,-0.052123418495654,-0.0618891410030737,-0.103863712795883
"14","TCGA-3S-A8YW",-0.0144628954501212,-0.0415646834379378,-0.0596689810980978,-0.140233743520303,-0.0532437654621868,0.030861210129743,0.298289411749246,0.0653714517853169
"15","TCGA-ZB-A962",0.112424815321723,0.00512370906498499,0.112420634334302,-0.160737555371337,-0.101560121577772,-0.0114274838572208,-0.0139581048722189,0.0788409027838782
"16","TCGA-XM-A8R9",-0.000941361044220567,-0.00502734824628618,0.0135332431194518,-0.00121254704075497,-0.0461460263394445,0.151119283528436,0.0224908791117236,-0.0829373731707777
"17","TCGA-XM-A8RH",0.0386728238264196,-0.00296110336171338,0.040415256179263,0.0910220684571325,-0.101074588343092,-0.0721063062902269,-0.0626441424630843,-0.0961787305127621
"18","TCGA-ZL-A9V6",0.127181096249173,-0.00248358484817009,0.11021023069504,-0.136421234393985,-0.0300457297667888,0.112500727697483,0.0283041857792383,0.0905707340514342
"19","TCGA-X7-A8DE",0.0221492018460262,-0.0417275335250674,0.0291973681366709,0.0433322338156042,-0.0556786192520744,0.0212954963784696,-0.00938013818080342,-0.0961258534761789
"20","TCGA-4V-A9QN",-0.0222150015831311,-0.0863060202892053,-0.0989671897792381,-0.140683457914836,0.170813305701341,-0.127045501300051,0.0550584857204659,-0.107691525531149
"21","TCGA-ZB-A96F",0.0202219205961641,-0.0903268864990022,-0.0964786321544225,0.00537690546348724,0.209561469917246,-0.0463719331178436,-0.034981896194843,0.124666440220576
"22","TCGA-XU-A92V",0.103109801610747,0.110738878803855,0.120637315980315,-0.0390096072689147,-0.0610512553745907,0.0218007184137959,-0.0574991355488367,-0.101007226865641
"23","TCGA-YT-A95G",0.0608290526927396,-0.0346053457839069,-0.0764272369801657,0.0301832479781701,0.13595130621166,0.0470888045891046,-0.0183112342583826,-0.0911622271919693
"24","TCGA-ZB-A96E",0.0611312375203738,-0.0564048959781069,0.0671477507946353,-0.00980572795403085,-0.0442551143764139,0.000496401096799115,-0.0480011764736905,0.0918680368022221
"25","TCGA-X7-A8D6",0.0580593309998702,0.0345644240180745,0.039813699481468,0.0935429666909426,-0.0936988890431248,-0.0537288053535011,-0.059567455860006,-0.0888140851026007
"26","TCGA-XU-AAY0",-0.130610607408852,0.0944192371624508,0.0704232848668583,0.0607589645601106,-0.0993032466313063,-0.0142979609965132,-0.0665205131222591,-0.0962964540581045
"27","TCGA-X7-A8D9",0.0663068294721768,0.142521071464414,0.0843075431957981,0.00965985395692135,-0.0632748386915546,-0.0187851655593729,-0.034483933881235,-0.104953703888518
"28","TCGA-3G-AB0Q",0.0411625369217082,0.181741687070188,0.144168094079129,-0.10613322593929,-0.0556884469567649,-0.0912143531578572,-0.0662123006316491,0.0861301537449569
"29","TCGA-4V-A9QU",-0.0352338577653948,0.0667316845658732,0.0758698062522053,0.0677557070283838,-0.089731389114844,-0.100415862957602,-0.0758695307733157,-0.105192367661801
"30","TCGA-XM-A8RF",0.043726063744745,-0.0611581079099985,0.0984812407979879,-0.0822302646464593,-0.0498521902777026,0.0622129917648683,-0.0349809375137401,-0.0835734304988146
